order,date,customer,item,c_sales_amount,quantity,unit_price
11406784,2012-10-24T00:00:00Z,random@hotmail.com,244507,0.00,1,0.00
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,162037,14.28,1,14.28
11406786,2012-10-24T00:00:00Z,random.Jundt@web.de,162226,16.80,1,16.80
11406791,2012-10-24T00:00:00Z,random.jacki@freenet.de,229422,11.76,1,11.76
11406792,2012-10-24T00:00:00Z,random@gmx.de,235927,8.40,1,8.40
11406792,2012-10-24T00:00:00Z,random@gmx.de,243556,20.16,1,20.16
11406797,2012-10-24T00:00:00Z,random.ptock@gmx.de,821182,12.60,1,12.60
11406802,2012-10-24T00:00:00Z,random.gundacker@gmx.at,123628,5.83,1,5.83
11406803,2012-10-24T00:00:00Z,random@live.com,197593,60.86,1,60.86
11406807,2012-10-24T00:00:00Z,random.steger@live.at,236324,33.33,1,33.33
11406807,2012-10-24T00:00:00Z,random.steger@live.at,238712,41.66,1,41.66
11406808,2012-10-24T00:00:00Z,random@haberer.biz,233782,33.61,1,33.61
11406809,2012-10-24T00:00:00Z,random.bebensee@live.de,162473,16.80,1,16.80
11406811,2012-10-24T00:00:00Z,random.rene@web.de,209749,3.35,1,3.35
11406812,2012-10-24T00:00:00Z,random.franziska@gmail.com,241700,16.80,1,16.80
11406815,2012-10-24T00:00:00Z,random.frank1@t-online.de,197514,12.60,1,12.60
11406816,2012-10-24T00:00:00Z,random@hotmail.de,187358,0.00,1,0.00
11406817,2012-10-24T00:00:00Z,random@yahoo.de,194448,21.00,1,21.00
11406820,2012-10-24T00:00:00Z,random@arcor.de,196911,15.96,1,15.96
11406821,2012-10-24T00:00:00Z,random@freenet.de,234985,16.80,1,16.80
11406821,2012-10-24T00:00:00Z,random@freenet.de,240320,12.60,1,12.60
11406822,2012-10-24T00:00:00Z,random@teamfroehlich.de,229097,16.80,1,16.80
11406823,2012-10-24T00:00:00Z,random@yahoo.de,204446,33.61,1,33.61
11406823,2012-10-24T00:00:00Z,random@yahoo.de,240526,29.40,1,29.40
11406824,2012-10-24T00:00:00Z,random.kaefer@chello.at,179787,41.66,1,41.66
11406825,2012-10-24T00:00:00Z,random@gmx.de,206630,25.20,1,25.20
11406825,2012-10-24T00:00:00Z,random@gmx.de,239988,42.01,1,42.01
